Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Matheus Nunes,Midfielder,19,0,0,13,38%,0,2,7,9,6,0,40,63,66,20,7,9,0,1,2,522,27.5,2,22,32%,1,4,0,1,9,5,0,0,0,0,1,0,0,0,10,4,40%,2,0,0,0,0,0,0,0,0
Joël Matip,Defender,10,2,9,12,50%,0,1,9,41,26,0,58,43,27,0,28,10,1,0,0,563,56.3,0,0,0%,0,16,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Neal Maupay,Forward,31,0,0,10,0%,0,12,2,4,3,0,0,0,0,0,0,0,0,0,3,398,12.8,5,8,0%,0,0,8,0,20,6,6,1,3,2,1,0.2,0,0,42,20,48%,7,0,0,0,0,0,0,0,0
Konstantinos Mavropanos,Defender,19,3,27,28,57%,2,1,23,78,31,0,70,84,44,2,44,24,2,2,0,627,33,0,1,0%,1,40,2,0,15,0,1,1,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Bryan Mbeumo,Midfielder,25,0,0,15,67%,0,11,7,12,8,0,93,106,160,26,23,45,0,0,6,650,26,6,92,32%,15,17,2,0,22,3,9,0,1,8,3,0.4,3,0,53,20,38%,9,0,0,0,0,0,0,0,0
Oliver McBurnie,Forward,21,0,0,17,0%,0,6,5,28,26,0,0,0,0,0,0,0,0,0,3,398,19,3,5,0%,0,0,3,2,19,4,6,1,4,1,2,0.3,2,0,33,17,52%,7,0,0,0,0,0,0,0,0
John McGinn,Midfielder,35,0,0,59,59%,0,11,21,18,9,0,161,191,191,54,9,19,0,0,4,1142,32.6,10,74,34%,15,73,9,1,39,2,6,0,3,3,0,0.2,0,1,40,16,40%,3,0,0,0,0,0,0,0,0
Dwight McNeil,Forward,35,0,0,44,0%,0,20,22,27,15,0,0,0,0,0,0,0,0,0,6,1001,28.6,17,229,0%,0,0,2,0,18,4,3,0,0,3,3,0.1,0,0,57,15,26%,3,0,0,0,0,0,0,0,0
Scott McTominay,Midfielder,32,0,0,49,51%,0,11,14,54,32,0,91,114,115,8,38,44,0,0,1,643,20.1,2,4,0%,2,18,2,0,29,6,7,4,2,1,0,0.2,0,0,44,19,43%,6,0,0,0,0,0,0,0,0
Ben Mee,Defender,16,1,26,26,58%,0,4,13,57,34,1,67,67,54,3,35,32,0,0,0,605,37.8,0,5,60%,0,36,1,1,7,1,2,2,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
